Phi[deg],Theta[deg],RealizedGainTotal
32,14,0.893151
34,14,0.892617
36,14,0.891923
38,14,0.891066
40,14,0.890041
42,14,0.888845
44,14,0.887476
46,14,0.88593
48,14,0.884207
50,14,0.882306
52,14,0.880227
54,14,0.877972
56,14,0.875541
58,14,0.872938
60,14,0.870166
62,14,0.867227
64,14,0.864128
66,14,0.860873
68,14,0.857467
70,14,0.853917
72,14,0.85023
74,14,0.846412
76,14,0.84247
78,14,0.838412
80,14,0.834247
82,14,0.829981
84,14,0.825624
86,14,0.821183
88,14,0.816668
90,14,0.812086
92,14,0.807447
94,14,0.802759
96,14,0.79803
98,14,0.793271
100,14,0.788488
102,14,0.783692
104,14,0.778891
106,14,0.774093
108,14,0.769307
110,14,0.764542
112,14,0.759807
114,14,0.755111
116,14,0.750462
118,14,0.745869
120,14,0.741343
122,14,0.736891
124,14,0.732524
126,14,0.72825
128,14,0.72408
130,14,0.720023
132,14,0.716089
134,14,0.712289
136,14,0.708631
138,14,0.705126
140,14,0.701783
142,14,0.698612
144,14,0.695621
146,14,0.692818
148,14,0.690211
150,14,0.687804
152,14,0.685604
154,14,0.683614
156,14,0.681835
158,14,0.680268
160,14,0.67891
162,14,0.677758
164,14,0.676806
166,14,0.676045
168,14,0.675465
170,14,0.675053
172,14,0.674794
174,14,0.674672
176,14,0.674667
178,14,0.67476
180,14,0.674929
-180,16,0.659965
-178,16,0.660378
-176,16,0.660824
-174,16,0.661269
-172,16,0.661679
-170,16,0.662022
-168,16,0.662267
-166,16,0.662384
-164,16,0.662348
-162,16,0.662134
