"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []","dB(RealizedGainTotal) []"
2,90,42,-0.847664923140071,-12.3304422780256,-0.549462516853513
2,90,43,-0.845995333914642,-12.4648799641342,-0.556693967559595
2,90,44,-0.847398043986988,-12.6212398562253,-0.567917757648992
2,90,45,-0.851844158836508,-12.7993667995158,-0.582988058660202
2,90,46,-0.859304435088506,-12.9991112539623,-0.601753895317521
2,90,47,-0.869743729853892,-13.2203243909393,-0.624055735774857
2,90,48,-0.883116103786066,-13.4628526553708,-0.649722622571966
2,90,49,-0.899360748570333,-13.7265317263711,-0.678569982496743
2,90,50,-0.918398860371267,-14.011179749207,-0.710398214867212
2,90,51,-0.940131532741017,-14.3165896451954,-0.744992118861289
2,90,52,-0.964438697441715,-14.6425202294914,-0.782121182617957
2,90,53,-0.991179100712251,-14.9886857746806,-0.821540720822158
2,90,54,-1.02019126633299,-15.3547435452603,-0.862993814077376
2,90,55,-1.0512953656414,-15.7402786887837,-0.906213973148297
2,90,56,-1.08429588843859,-16.1447856982829,-0.950928424666116
2,90,57,-1.11898498743168,-16.5676454539358,-0.996861892685364
2,90,58,-1.15514635243756,-17.008096610598,-1.04374073315475
2,90,59,-1.19255945907402,-17.4651998319955,-1.09129726652093
2,90,60,-1.23100403021293,-17.9377931101583,-1.13927414788637
2,90,61,-1.27026454725182,-18.4244362098966,-1.1874286148253
2,90,62,-1.3101346524298,-18.9233422554448,-1.23553646033075
2,90,63,-1.35042129301578,-19.4322948251525,-1.28339559230312
2,90,64,-1.39094847306824,-19.9485499545515,-1.33082906098365
2,90,65,-1.43156049816757,-20.4687246338252,-1.37768746085378
2,90,66,-1.47212462229924,-20.9886773379028,-1.42385064243347
2,90,67,-1.51253303285657,-21.5033925131411,-1.46922870047592
2,90,68,-1.55270413821531,-22.0068901812165,-1.51376223644083
2,90,69,-1.59258315102478,-22.492193439281,-1.55742192297509
2,90,70,-1.63214198773896,-22.951398257002,-1.60020742472032
2,90,71,-1.67137852954125,-23.3758961904651,-1.64214575167671
2,90,72,-1.71031531048974,-23.7567928186239,-1.683289137575
2,90,73,-1.74899771453125,-24.0855335335306,-1.72371254571334
